current,TOA5_PJ_2012_12_10_1700,TOA5_PJ_2013_07_12_1200,TOA5_PJ_2014_01_10_1600,TOA5_PJ_2014_03_21_1100,TOA5_PJ_2014_03_26_1430
AirTC_10_Avg,AirTC_Avg,AirTC_Avg,AirTC_3p7_Avg,current,current
AirTC_3p7_Avg,AirTC_2_Avg,AirTC_2_Avg,AirTC_10_Avg,current,current
co2_mean_Avg,co2_Avg,co2_Avg,current,current,current
co2_um_m_Avg,co2_u_mol_Avg,co2_u_mol_Avg,current,current,current
stdev_co2,cov_co2_co2,cov_co2_co2,current,current,current
stdev_h2o,cov_h2o_h2o,cov_h2o_h2o,current,current,current
stdev_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current,current
cov_co2_Ux,cov_Ux_co2,cov_Ux_co2,current,current,current
cov_h2o_Ux,cov_Ux_h2o,cov_Ux_h2o,current,current,current
cov_Ts_Ux,cov_Ux_Ts,cov_Ux_Ts,current,current,current
stdev_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current,current
cov_Ux_Uy,current,current,current,current,current
cov_co2_Uy,cov_Uy_co2,cov_Uy_co2,current,current,current
cov_h2o_Uy,cov_Uy_h2o,cov_Uy_h2o,current,current,current
cov_Ts_Uy,cov_Uy_Ts,cov_Uy_Ts,current,current,current
stdev_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current,current
cov_co2_Uz,cov_Uz_co2,cov_Uz_co2,current,current,current
cov_h2o_Uz,cov_Uz_h2o,cov_Uz_h2o,current,current,current
cov_Ts_Uz,cov_Uz_Ts,cov_Uz_Ts,current,current,current
cov_Ux_Uz,cov_Uz_Ux,cov_Uz_Ux,current,current,current
cov_Uy_Uz,cov_Uz_Uy,cov_Uz_Uy,current,current,current
stdev_Uz,cov_Uz_Uz,cov_Uz_Uz,current,current,current
e_hmp_mean_Avg,e_Avg,e_Avg,current,current,current
h2o_mean_Avg,h2o_Avg,h2o_Avg,current,current,current
h2o_hmp_mean_Avg,h2o_hmp_Avg,h2o_hmp_Avg,current,current,current
h2o_mm_m_Avg,h2o_m_mol_Avg,h2o_m_mol_Avg,current,current,current
Hc,Hs,Hs,current,current,current
par_facedown_Avg,par_down_Avg,par_down_Avg,current,current,current
par_faceup_Avg,par_up_Avg,par_up_Avg,current,current,current
Rad_long_Dn_Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,Rad_long_Dn__Avg,current,current
Rad_long_Up_Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,Rad_long_Up__Avg,current,current
RH_10_Avg,RH,RH,RH_3p7_Avg,current,current
RH_3p7_Avg,RH_2,RH_2,RH_10_Avg,current,current
rho_a_mean_Avg,rho_a_Avg,rho_a_Avg,current,current,current
sig_lck_f_Tot,track_f_Tot,track_f_Tot,current,current,current
low12V_5000_Tot,low12V_5000,low12V_5000,current,current,current
canopyE_IRT_Avg,dne,canopy_IRT_Avg,canopy_IRT_Avg,canopy_IRT_Avg,current
