current,TOA5_PJ_girdle_2009_02_23_1530,TOA5_PJ_girdle_2009_04_28_1130,TOA5_PJ_girdle_2010_05_18_1500,TOA5_PJ_girdle_2013_07_03_1530,TOA5_PJ_girdle_2014_01_10_1530,TOA5_PJ_girdle_2014_03_26_1200
AirTC_6p85_Avg,dne,t_hmp_Avg,t_hmp_Avg,t_hmp_Avg,AirTC_10_Avg,current
co2_mean_Avg,dne,co2_Avg,co2_Avg,co2_Avg,current,current
stdev_co2,dne,cov_co2_co2,cov_co2_co2,cov_co2_co2,current,current
stdev_h2o,dne,cov_h2o_h2o,cov_h2o_h2o,cov_h2o_h2o,current,current
stdev_Ts,dne,cov_Ts_Ts,cov_Ts_Ts,cov_Ts_Ts,current,current
cov_co2_Ux,dne,cov_Ux_co2,cov_Ux_co2,cov_Ux_co2,current,current
cov_h2o_Ux,dne,cov_Ux_h2o,cov_Ux_h2o,cov_Ux_h2o,current,current
cov_Ts_Ux,dne,cov_Ux_Ts,cov_Ux_Ts,cov_Ux_Ts,current,current
stdev_Ux,dne,cov_Ux_Ux,cov_Ux_Ux,cov_Ux_Ux,current,current
cov_co2_Uy,dne,cov_Uy_co2,cov_Uy_co2,cov_Uy_co2,current,current
cov_h2o_Uy,dne,cov_Uy_h2o,cov_Uy_h2o,cov_Uy_h2o,current,current
cov_Ts_Uy,dne,cov_Uy_Ts,cov_Uy_Ts,cov_Uy_Ts,current,current
stdev_Uy,dne,cov_Uy_Uy,cov_Uy_Uy,cov_Uy_Uy,current,current
cov_co2_Uz,dne,cov_Uz_co2,cov_Uz_co2,cov_Uz_co2,current,current
cov_h2o_Uz,dne,cov_Uz_h2o,cov_Uz_h2o,cov_Uz_h2o,current,current
cov_Ts_Uz,dne,cov_Uz_Ts,cov_Uz_Ts,cov_Uz_Ts,current,current
cov_Ux_Uz,dne,cov_Uz_Ux,cov_Uz_Ux,cov_Uz_Ux,current,current
cov_Uy_Uz,dne,cov_Uz_Uy,cov_Uz_Uy,cov_Uz_Uy,current,current
stdev_Uz,dne,cov_Uz_Uz,cov_Uz_Uz,cov_Uz_Uz,current,current
h2o_mean_Avg,dne,h2o_Avg,h2o_Avg,h2o_Avg,current,current
Hc,Hs,Hs,Hs,Hs,current,current
par_facedown_Avg,dne,dne,par_down_Avg,par_down_Avg,current,current
par_faceup_Avg,dne,dne,par_up_Avg,par_up_Avg,current,current
rho_a_mean_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,rho_a_Avg,current,current
sig_lck_f_Tot,dne,track_f_Tot,track_f_Tot,track_f_Tot,current,current
CG3UpCo_Avg,dne,Rad_long_Up_TCor_Avg,Rad_long_Up_TCor_Avg,Rad_long_Up_TCor_Avg,current,current
CG3DnCo_Avg,dne,Rad_long_Dn_TCor_Avg,Rad_long_Dn_TCor_Avg,Rad_long_Dn_TCor_Avg,current,current
NetRs_Avg,dne,Rn_short_Avg,Rn_short_Avg,Rn_short_Avg,current,current
NetRl_Avg,dne,Rn_long_Avg,Rn_long_Avg,Rn_long_Avg,current,current
NetTot_Avg,dne,Rn_total_Avg,Rn_total_Avg,Rn_total_Avg,current,current
Rad_long_Dn_Avg,dne,current,current,current,Rad_long_Dn__Avg,current
Rad_long_Up_Avg,dne,current,current,current,Rad_long_Up__Avg,current
CNR1TC_Avg,Temp_C_Avg_1,Temp_C_Avg,Temp_C_Avg,Temp_C_Avg,current,current
canopyE_IRT_Avg,dne,dne,dne,canopy_IRT_Avg,canopy_IRT_Avg,current
h2o_hmp_mean_Avg,dne,h2o_hmp_Avg,h2o_hmp_Avg,h2o_hmp_Avg,current,current
RH_6p85_Avg,dne,dne,dne,dne,RH_10_Avg,current
